source_organisation,amountUSD,flow,destination_organisation
Various Donor,181926,internal,Peace Corps Organization
Various Donor,180748,incoming,Deutsche Welthungerhilfe e.V. (German Agro Action)
Various Donor,180748,incoming,Deutsche Welthungerhilfe e.V. (German Agro Action)
Various Donor,180634,incoming,ACT Alliance / Lutheran World Federation
Various Donor,180000,incoming,Support for Peace and Education Development Program
Various Donor,179126,internal,INTERSOS
Various Donor,177839,internal,Danish Refugee Council
Various Donor,177448,internal,Plan International
Various Donor,172970,internal,Hold the Child Organisation
Various Donor,171462,incoming,Norwegian Red Cross
Various Donor,171462,incoming,Norwegian Red Cross
Various Donor,171003,incoming,"Republic of South Sudan, Government of"
Various Donor,171003,incoming,"Republic of South Sudan, Government of"
Various Donor,169745,incoming,Concern Worldwide
Various Donor,169330,internal,Support for Peace and Education Development Program
Various Donor,169160,incoming,United Nations Children's Fund
Various Donor,169160,incoming,United Nations Children's Fund
Various Donor,166488,incoming,Polish Humanitarian Action
Various Donor,166488,incoming,Polish Humanitarian Action
Various Donor,164411,incoming,MEDAIR
Various Donor,160000,incoming,World Vision South Sudan
Various Donor,160000,incoming,World Vision South Sudan
Various Donor,158416,internal,Peace Corps Organization
Various Donor,156740,incoming,United Nations Children's Fund
Various Donor,156740,incoming,United Nations Children's Fund
Various Donor,156434,internal,Universal Network for Knowledge and Empowerment Agency
Various Donor,156387,internal,Norwegian Refugee Council
Various Donor,155567,internal,V̩t̩rinaires sans Fronti̬res (Switzerland)
Various Donor,154062,incoming,World Vision South Sudan
Various Donor,154062,incoming,World Vision South Sudan
Various Donor,152439,internal,MEDAIR
Various Donor,152439,internal,MEDAIR
Various Donor,150849,internal,Rural Community Action for Peace and Development
Various Donor,150693,incoming,Danish Red Cross
Various Donor,150693,incoming,Danish Red Cross
Various Donor,150000,incoming,World Vision South Sudan
Various Donor,150000,internal,Mercy Corps 
Various Donor,150000,incoming,World Vision South Sudan
Various Donor,150000,incoming,World Vision South Sudan
Various Donor,148515,internal,Nile Hope
Various Donor,148515,internal,GOAL
Various Donor,148515,internal,Sudan Medical Care
Various Donor,148515,internal,Universal Intervention and Development Organization
Various Donor,148514,internal,Nile Hope
Various Donor,147524,internal,MEDAIR
Various Donor,143200,incoming,Comitato di Coordinamento delle Organizzazione per il Servizio Volontario
Various Donor,142077,incoming,Catholic Relief Services
Various Donor,142077,incoming,Catholic Relief Services
Various Donor,140601,internal,Norwegian Refugee Council
Various Donor,140038,incoming,Catholic Relief Services
Various Donor,140038,incoming,Catholic Relief Services
Various Donor,137552,incoming,World Food Programme
Various Donor,137552,incoming,World Food Programme
Various Donor,137533,internal,World Food Programme
Various Donor,136634,internal,People in Need
Various Donor,136000,incoming,Comitato Collaborazione Medica
Various Donor,135521,internal,World Food Programme
Various Donor,134921,incoming,CARITAS
Various Donor,134921,incoming,CARITAS
Various Donor,133800,incoming,Care for Children and Old Age in South Sudan
Various Donor,133800,incoming,Care for Children and Old Age in South Sudan
Various Donor,133017,incoming,World Food Programme
Various Donor,133017,incoming,World Food Programme
Various Donor,132736,internal,Joint Aid Management International
Various Donor,131647,incoming,United Nations Children's Fund
Various Donor,130011,incoming,Handicap International
Various Donor,130011,incoming,Handicap International
Various Donor,130000,incoming,World Vision South Sudan
Various Donor,130000,incoming,Comitato Collaborazione Medica
Various Donor,125490,internal,World Food Programme
Various Donor,124740,internal,United Nations Humanitarian Air Service
Various Donor,124352,internal,World Food Programme
Various Donor,123030,internal,Universal Intervention and Development Organization
Various Donor,122850,incoming,Danish Refugee Council
Various Donor,122850,incoming,Danish Refugee Council
Various Donor,122433,incoming,Concern Worldwide
Various Donor,121860,incoming,ACT Alliance / Interchurch Organisation for Development Co-operation
Various Donor,121860,incoming,ACT Alliance / Interchurch Organisation for Development Co-operation
Various Donor,121013,incoming,ACT Alliance / Interchurch Organisation for Development Co-operation
Various Donor,121013,incoming,ACT Alliance / Interchurch Organisation for Development Co-operation
Various Donor,120577,internal,Standard Action Liaison Focus
Various Donor,120362,incoming,United Nations Children's Fund
Various Donor,120362,incoming,United Nations Children's Fund
Various Donor,120000,incoming,ACT Alliance / DanChurchAid
Various Donor,120000,incoming,Support for Peace and Education Development Program
Various Donor,119648,incoming,United Nations Children's Fund
Various Donor,119648,incoming,United Nations Children's Fund
Various Donor,118838,internal,Sudan Medical Care
Various Donor,117805,incoming,MEDAIR
Various Donor,114533,incoming,V̩t̩rinaires sans Fronti̬res (Switzerland)
Various Donor,113861,internal,Nile Hope
Various Donor,113684,incoming,Christian Mission Aid
Various Donor,112754,incoming,Office for the Coordination of Humanitarian Affairs
Various Donor,112754,incoming,Office for the Coordination of Humanitarian Affairs
Various Donor,112486,incoming,ACT Alliance / Christian Aid
Various Donor,112486,incoming,ACT Alliance / Christian Aid
Various Donor,110000,incoming,Relief International
Various Donor,106585,incoming,MEDAIR
Various Donor,106045,incoming,Handicap International
Various Donor,106045,incoming,Handicap International
Various Donor,105374,internal,M̩decins sans Fronti̬res
Various Donor,103620,incoming,Samaritan's Purse
Various Donor,103620,incoming,Samaritan's Purse
Various Donor,102525,internal,World Relief
Various Donor,102346,incoming,Concern Worldwide
Various Donor,102346,incoming,Concern Worldwide
Various Donor,101080,incoming,IBIS
Various Donor,101080,incoming,IBIS
Various Donor,100849,incoming,United Nations Children's Fund
Various Donor,100849,incoming,United Nations Children's Fund
Various Donor,100479,incoming,Johanniter Unfallhilfe e.V.
Various Donor,100479,incoming,Johanniter Unfallhilfe e.V.
Various Donor,100000,incoming,World Vision South Sudan
Various Donor,100000,incoming,World Vision South Sudan
Various Donor,100000,incoming,Catholic Organisation for Relief and Development Aid
Various Donor,100000,incoming,World Food Programme
Various Donor,100000,incoming,Office for the Coordination of Humanitarian Affairs
Various Donor,100000,incoming,INTERSOS
Various Donor,100000,incoming,World Vision South Sudan
Various Donor,100000,incoming,World Food Programme
Various Donor,100000,incoming,Office for the Coordination of Humanitarian Affairs
Various Donor,100000,incoming,INTERSOS
Various Donor,100000,incoming,World Vision South Sudan
Various Donor,99010,internal,Community in Need Aid
Various Donor,99010,internal,The Health Support Organization
Various Donor,99008,internal,Rural Development Initiative South Sudan
Various Donor,98775,incoming,United Nations Children's Fund
Various Donor,98775,incoming,United Nations Children's Fund
Various Donor,97762,internal,Sign of Hope
Various Donor,94840,internal,GOAL
Various Donor,92894,incoming,Norwegian Refugee Council
Various Donor,92894,incoming,Norwegian Refugee Council
Various Donor,90263,incoming,United Nations Children's Fund
Various Donor,90263,incoming,United Nations Children's Fund
Various Donor,88864,incoming,United Nations Children's Fund
Various Donor,88864,incoming,United Nations Children's Fund
Various Donor,87460,internal,United Nations Children's Fund
Various Donor,86484,incoming,MEDAIR
Various Donor,85056,incoming,United Nations Children's Fund
Various Donor,85056,incoming,United Nations Children's Fund
Various Donor,84836,incoming,United Nations Children's Fund
Various Donor,84836,incoming,United Nations Children's Fund
Various Donor,84022,incoming,Christian Mission for Development
Various Donor,84022,incoming,Christian Mission for Development
Various Donor,83672,incoming,World Food Programme
Various Donor,83672,incoming,World Food Programme
Various Donor,82434,internal,Private (individuals & organisations)
Various Donor,82237,incoming,OXFAM Ireland
Various Donor,82237,incoming,OXFAM Ireland
Various Donor,80386,internal,empty
Various Donor,80000,incoming,World Vision South Sudan
Various Donor,80000,incoming,World Vision South Sudan
Various Donor,79208,internal,Universal Network for Knowledge and Empowerment Agency
Various Donor,79208,internal,The Health Support Organization
Various Donor,78840,incoming,Pearl of Africa Environment
Various Donor,78840,incoming,Pearl of Africa Environment
Various Donor,78379,incoming,Swedish Civil Contingencies Agency (MSB)
Various Donor,78379,incoming,Swedish Civil Contingencies Agency (MSB)
Various Donor,77515,incoming,United Nations Children's Fund
Various Donor,77515,incoming,United Nations Children's Fund
Various Donor,76203,incoming,Catholic Relief Services
Various Donor,76013,internal,Street Children Aid
Various Donor,75100,incoming,World Food Programme
Various Donor,75100,incoming,World Food Programme
Various Donor,75006,internal,Universal Intervention and Development Organization
Various Donor,73762,internal,World Food Programme
Various Donor,72000,incoming,Kissito Healthcare International
Various Donor,71262,internal,Action for Development
Various Donor,71068,incoming,South Sudan Development Agency
Various Donor,71068,incoming,South Sudan Development Agency
Various Donor,71068,incoming,South Sudan Development Agency
Various Donor,66659,incoming,MEDAIR
Various Donor,65000,incoming,International Rescue Committee
Various Donor,64926,incoming,Handicap International
Various Donor,64474,incoming,United Nations Children's Fund
Various Donor,64474,incoming,United Nations Children's Fund
Various Donor,63340,incoming,Nonviolent Peaceforce
Various Donor,62948,internal,Agency for Technical Cooperation and Development
Various Donor,61866,incoming,Street Children Aid
Various Donor,61866,incoming,Street Children Aid
Various Donor,61378,incoming,Save the Children 
Various Donor,60976,incoming,United Nations Children's Fund
Various Donor,60976,incoming,ACT Alliance / Lutheran World Federation
Various Donor,59836,internal,Save the Children 
Various Donor,59406,internal,Lacha Community and Economic Development
Various Donor,56500,incoming,Real Medicine Foundation
Various Donor,56443,incoming,United Nations Children's Fund
Various Donor,56443,incoming,United Nations Children's Fund
Various Donor,56098,incoming,MEDAIR
Various Donor,56000,incoming,Kissito Healthcare International
Various Donor,56000,incoming,Kissito Healthcare International
Various Donor,55482,incoming,United Nations Children's Fund
Various Donor,55482,incoming,United Nations Children's Fund
Various Donor,55417,incoming,Christian Mission Aid
Various Donor,54795,internal,empty
Various Donor,53988,incoming,Comitato di Coordinamento delle Organizzazione per il Servizio Volontario
Various Donor,53465,incoming,Universal Intervention and Development Organization
Various Donor,53352,internal,Danish Refugee Council
Various Donor,53000,incoming,Catholic Organisation for Relief and Development Aid
Various Donor,52687,internal,ACF - USA
Various Donor,52687,internal,Norwegian Refugee Council
Various Donor,52500,incoming,United Nations Children's Fund
Various Donor,52500,incoming,United Nations Children's Fund
Various Donor,51579,incoming,United Nations Children's Fund
Various Donor,51579,incoming,United Nations Children's Fund
Various Donor,51516,incoming,United Nations Children's Fund
Various Donor,51516,incoming,United Nations Children's Fund
Various Donor,50186,incoming,Qatar Red Crescent Society
Various Donor,50186,incoming,Qatar Red Crescent Society
Various Donor,50000,incoming,World Vision South Sudan
Various Donor,50000,incoming,World Vision South Sudan
Various Donor,50000,incoming,IsraAID
Various Donor,50000,internal,Rural Water and Sanitation Support Agency
Various Donor,50000,internal,OXFAM GB
Various Donor,49835,internal,Lacha Community and Economic Development
Various Donor,49486,internal,Universal Intervention and Development Organization
Various Donor,49300,incoming,ACT Alliance / DanChurchAid
Various Donor,47418,outgoing,United Nations High Commissioner for Refugees
Various Donor,46763,incoming,Handicap International
Various Donor,45494,incoming,Christian Solidarity International
Various Donor,45494,incoming,Christian Solidarity International
Various Donor,45154,incoming,United Nations Children's Fund
Various Donor,45154,incoming,United Nations Children's Fund
Various Donor,44358,incoming,Handicap International
Various Donor,44045,incoming,Danish Refugee Council
Various Donor,44045,incoming,Danish Refugee Council
Various Donor,44000,internal,Save the Children 
Various Donor,43316,incoming,Plan International
Various Donor,42894,incoming,Concern Worldwide
Various Donor,41179,incoming,MEDAIR
Various Donor,39382,internal,Concern Worldwide
Various Donor,38837,incoming,United Nations Children's Fund
Various Donor,38837,incoming,United Nations Children's Fund
Various Donor,38684,incoming,United Nations Children's Fund
Various Donor,38684,incoming,United Nations Children's Fund
Various Donor,36936,internal,Danish Refugee Council
Various Donor,36881,outgoing,United Nations High Commissioner for Refugees
Various Donor,36664,incoming,Agency for Technical Cooperation and Development
Various Donor,36664,incoming,Agency for Technical Cooperation and Development
Various Donor,35142,incoming,CARE International
Various Donor,35000,incoming,American Refugee Committee
Various Donor,32680,incoming,United Nations High Commissioner for Refugees
Various Donor,32680,incoming,United Nations High Commissioner for Refugees
Various Donor,32500,incoming,Samaritan's Purse
Various Donor,31646,incoming,World Food Programme
Various Donor,31646,incoming,World Food Programme
Various Donor,31137,incoming,Comitato di Coordinamento delle Organizzazione per il Servizio Volontario
Various Donor,30000,incoming,World Vision South Sudan
Various Donor,29751,incoming,Impact Health Organization
Various Donor,29751,incoming,Impact Health Organization
Various Donor,29364,incoming,Handicap International
Various Donor,29167,incoming,United Nations Children's Fund
Various Donor,29167,incoming,United Nations Children's Fund
Various Donor,29000,incoming,United Nations Children's Fund
Various Donor,29000,incoming,United Nations Children's Fund
Various Donor,28140,incoming,Peace Corps Organization
Various Donor,26261,incoming,Chemonics International Inc.
Various Donor,26261,incoming,Chemonics International Inc.
Various Donor,25483,incoming,World Food Programme
Various Donor,25483,incoming,World Food Programme
Various Donor,24389,incoming,Swedish Civil Contingencies Agency (MSB)
Various Donor,24389,incoming,Swedish Civil Contingencies Agency (MSB)
Various Donor,23635,incoming,Standard Action Liaison Focus
Various Donor,23635,incoming,Standard Action Liaison Focus
Various Donor,23000,incoming,World Vision South Sudan
Various Donor,22906,incoming,United Nations Children's Fund
Various Donor,22906,incoming,United Nations Children's Fund
Various Donor,20000,incoming,Danish Refugee Council
Various Donor,20000,incoming,World Vision South Sudan
Various Donor,20000,incoming,Danish Refugee Council
Various Donor,20000,incoming,World Vision South Sudan
Various Donor,18809,incoming,Lacha Community and Economic Development
Various Donor,18809,incoming,Lacha Community and Economic Development
Various Donor,16307,incoming,United Nations Children's Fund
Various Donor,16307,incoming,United Nations Children's Fund
Various Donor,16000,incoming,Danish Refugee Council
Various Donor,16000,incoming,Danish Refugee Council
Various Donor,15500,incoming,Impact Health Organization
Various Donor,15500,incoming,Impact Health Organization
Various Donor,15000,incoming,Kissito Healthcare International
Various Donor,14466,incoming,Universal Intervention and Development Organization
Various Donor,14430,incoming,V̩t̩rinaires sans Fronti̬res (Switzerland)
Various Donor,13805,incoming,United Nations Children's Fund
Various Donor,13805,incoming,United Nations Children's Fund
Various Donor,13726,incoming,United Nations Children's Fund
Various Donor,13726,incoming,United Nations Children's Fund
Various Donor,12509,incoming,Christian Mission for Development
Various Donor,5719,incoming,United Nations Children's Fund
Various Donor,5705,incoming,Christian Mission for Development
Various Donor,3933,incoming,MEDAIR
Various Donor,3826,incoming,Comitato di Coordinamento delle Organizzazione per il Servizio Volontario
Various Donor,3362,incoming,United Nations High Commissioner for Refugees
Various Donor,3362,incoming,United Nations High Commissioner for Refugees
Various Donor,1437,incoming,Office for the Coordination of Humanitarian Affairs
Various Donor,1437,incoming,Office for the Coordination of Humanitarian Affairs
Various Donor,1133,incoming,World Food Programme
Various Donor,951,incoming,United Nations High Commissioner for Refugees
Various Donor,410,incoming,World Food Programme
Various Donor,360,internal,United Nations High Commissioner for Refugees
Various Donor,184,incoming,World Food Programme
Various Donor,123,incoming,United Nations High Commissioner for Refugees
